molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	binary_status
49.4252172	-0.731468531	5.101322365	99.86	315.7775	1
40.2870411	-0.815921788	5.863362694	96.95	111.0907	1
213.571183	-0.416186485	5.877288246	100	129.5016	1
24.4837779	-0.448113208	5.733030891	100	500.4623	1
70.4372423	-0.745581395	5.765201759	99.81	2653.2137	1
39.8094718	0.539178082	9.107529259	96.65	160.3721	1
32.5753435	-0.460409556	9.005991554	99.93	267.5204	1
47.1734074	-0.269392523	7.160712624	100	2494.214	1
11.1615477	0.214285714	4.301256752	100	7890.0428	1
59.1713307	-0.977419355	10.34203434	99.44	92.8011	1
59.2758266	-0.10719697	8.902906609	99.91	1532.5063	1
14.0464899	-0.684677419	4.776771736	99.89	77.0185	1
50.5042146	-0.45033557	8.478253365	99.95	707.4249	1
21.0387356	-0.664615385	6.49342289	99.98	318.7914	1
9.062305	-0.175903614	9.696190071	99.68	793.0842	1
34.7025943	-0.116612378	9.313892555	99.44	246.3378	1
60.3141844	0.003738318	8.339517403	95.22	398.4286	1
26.2493698	-0.250632911	5.521191978	97.36	29.5192	1
12.2739816	-0.566981132	8.106077385	99.98	192.1555	1
116.3501297	-0.076208531	5.874730492	99.98	61.7152	1
28.399693	-0.096538462	4.721922112	99.75	51.1597	1
66.0012119	-0.592033898	6.279821968	100	130.217	1
57.8536589	-0.184705882	8.632461739	14.37	2180.7739	1
29.5124392	-0.27037037	8.219799614	99.95	85.4504	1
52.1746752	-0.040412371	9.216867638	100	1307.4197	1
15.8346514	-0.110638298	10.14198895	16.09	179.3724	1
27.3955603	-0.556431535	9.555004311	63.11	2053.9257	1
198.7719727	-0.523149694	5.922247887	100	1085.5535	1
81.3407423	-0.170679887	9.04686451	99.24	297.5377	1
38.7095748	-1.093002915	6.616877174	100	139.8668	1
20.900662	-0.22513369	5.891384315	99.89	254.2768	1
19.7091906	-0.774157303	11.57544346	99.72	65.265	1
52.6718474	-0.009166667	5.787482643	88.61	91.54	1
22.3000867	-0.943627451	6.237079048	9.96	40.2847	1
52.7836377	-0.062162162	5.499991035	97.06	93.7842	1
52.5006243	-0.469736842	5.78486805	100	299.4492	1
74.0700545	-0.843975904	5.994944954	100	80.9946	1
29.6585291	-0.105617978	9.864452553	60.76	167.35	1
16.5428303	0.056291391	4.743520927	99.82	4283.0552	1
19.7805721	-1.015819209	7.657428551	100	723.3933	1
35.9252223	-0.251987768	5.251945686	99.93	288.1868	1
